"Name","Team","HR","playerid"
"Yuli Gurriel","HOU","12","19198"
"Ramon Laureano","OAK","8","17128"
"Danny Santana","TEX","7","10322"
"Mike Trout","LAA","13","10155"
"Travis d'Arnaud","TBR","8","7739"
"Keston Hiura","MIL","6","20003"
"Rafael Devers","BOS","9","17350"
"Christian Yelich","MIL","7","11477"
"Jose Altuve","HOU","6","5417"
"Mookie Betts","BOS","5","13611"
"Paul Goldschmidt","STL","11","9218"
"Yordan Alvarez","HOU","5","19556"
"Nelson Cruz","MIN","10","2434"
"Michael Brantley","HOU","5","4106"
"Eugenio Suarez","CIN","12","12552"
"Josh Donaldson","ATL","10","5038"
"Xander Bogaerts","BOS","7","12161"
"Miguel Sano","MIN","6","12164"
"Ketel Marte","ARI","3","13613"
"Jesse Winker","CIN","3","13590"
"Jose Ramirez","CLE","9","13510"
"Teoscar Hernandez","TOR","8","13066"
"Anthony Rendon","WSN","4","12861"
"Anthony Rizzo","CHC","2","3473"
"Jorge Soler","KCR","6","14221"
"Renato Nunez","BAL","7","14503"
"Amed Rosario","NYM","2","15518"
"Adam Frazier","PIT","2","15223"
"Brian Dozier","WSN","3","9810"
"Marcus Semien","OAK","6","12533"
"Cody Bellinger","LAD","7","15998"
"Kris Bryant","CHC","5","15429"
"Omar Narvaez","SEA","5","13338"
"Daniel Murphy","COL","5","4316"
"Kolten Wong","STL","1","12532"
"Francisco Lindor","CLE","6","12916"
"Fernando Tatis Jr.","SDP","8","19709"
"Christian Walker","ARI","6","13419"
"Ryan McMahon","COL","4","15112"
"Starling Marte","PIT","6","9241"
"Yoan Moncada","CHW","6","17232"
"Rhys Hoskins","PHI","4","16472"
"Kole Calhoun","LAA","7","11200"
"Michael Conforto","NYM","5","16376"
"Austin Meadows","TBR","4","15672"
"Andrew Benintendi","BOS","4","17901"
"Mike Yastrzemski","SFG","4","14854"
"Matt Olson","OAK","6","14344"
"Juan Soto","WSN","6","20123"
"Jake Lamb","ARI","3","13329"
"Manuel Margot","SDP","3","14712"
"Mark Canha","OAK","6","11445"
"Shin-Soo Choo","TEX","6","3174"
"Justin Turner","LAD","7","5235"
"Alex Bregman","HOU","4","17678"
"Aaron Hicks","NYY","6","5297"
"George Springer","HOU","6","12856"
"Yasiel Puig","CIN","5","14225"
"Anthony Santander","BAL","4","14551"
"J.D. Martinez","BOS","5","6184"
"Edwin Encarnacion","NYY","6","2151"
"Max Kepler","MIN","8","12144"
"Trea Turner","WSN","3","16252"
"Rougned Odor","TEX","8","12282"
"Bryce Harper","PHI","3","11579"
"Ozzie Albies","ATL","2","16556"
"Vladimir Guerrero Jr.","TOR","3","19611"
"Starlin Castro","MIA","3","4579"
"Aaron Judge","NYY","4","15640"
"Jose Martinez","STL","5","7996"
"Jean Segura","PHI","1","5933"
"Manny Machado","SDP","6","11493"
"Ronald Acuna Jr.","ATL","5","18401"
"Luis Arraez","MIN","1","18568"
"Alex Gordon","KCR","1","5209"
"Freddie Freeman","ATL","3","5361"
"Tyler O'Neill","STL","4","15711"
"Brandon Crawford","SFG","4","5343"
"Niko Goodrum","DET","4","12092"
"Franmil Reyes","SDP","3","14566"
"David Fletcher","LAA","0","17992"
"Jeff McNeil","NYM","5","15362"
"Whit Merrifield","KCR","1","11281"
"Carlos Santana","CLE","5","2396"
"Shohei Ohtani","LAA","3","19755"
"Colin Moran","PIT","1","16909"
"Roberto Perez","CLE","4","2900"
"Nick Ahmed","ARI","3","12147"
"Adam Eaton","WSN","1","11205"
"J.T. Realmuto","PHI","4","11739"
"Javier Baez","CHC","5","12979"
"DJ LeMahieu","NYY","3","9874"
"Brandon Dixon","DET","3","15214"
"Buster Posey","SFG","3","9166"
"Trey Mancini","BAL","7","15149"
"Dexter Fowler","STL","4","4062"
"Max Muncy","LAD","6","13301"
"Jonathan Villar","BAL","3","10071"
"Freddy Galvis","TOR","4","6609"
"Hunter Dozier","KCR","3","15117"
"Christin Stewart","DET","1","17714"
"Nomar Mazara","TEX","3","14553"
"Bryan Reynolds","PIT","3","19326"
"David Dahl","COL","3","13744"
"Lourdes Gurriel Jr.","TOR","4","19238"
"Pete Alonso","NYM","6","19251"
"Danny Jansen","TOR","4","16535"
"Justin Smoak","TOR","4","9054"
"Yasmani Grandal","MIL","1","11368"
"Garrett Cooper","MIA","4","15279"
"Trevor Story","COL","5","12564"
"Josh Bell","PIT","5","13145"
"Daniel Vogelbach","SEA","5","14130"
"Tommy Pham","TBR","3","2967"
"Christian Vazquez","BOS","5","9774"
"Didi Gregorius","NYY","4","6012"
"Marwin Gonzalez","MIN","3","5497"
"Kyle Schwarber","CHC","6","16478"
"Jason Heyward","CHC","1","4940"
"Miguel Rojas","MIA","4","7802"
"Harold Castro","DET","1","14691"
"Oscar Mercado","CLE","4","16375"
"Nick Castellanos","DET","3","11737"
"Lorenzo Cain","MIL","4","9077"
"Avisail Garcia","TBR","2","5760"
"Robbie Grossman","OAK","0","5254"
"Eduardo Escobar","ARI","4","6153"
"Jon Jay","CHW","0","5227"
"Jeimer Candelario","DET","5","13621"
"Jason Kipnis","CLE","3","9776"
"Leury Garcia","CHW","1","5913"
"Jorge Polanco","MIN","5","13152"
"Asdrubal Cabrera","TEX","1","4962"
"Brian Anderson","MIA","5","18289"
"Hanser Alberto","BAL","3","11902"
"Pablo Sandoval","SFG","4","5409"
"Jake Bauers","CLE","1","15194"
"Cheslor Cuthbert","KCR","2","10473"
"Eric Sogard","- - -","1","7927"
"Adam Jones","ARI","0","6368"
"Victor Robles","WSN","2","18363"
"Paul DeJong","STL","5","18015"
"Domingo Santana","SEA","3","10348"
"Andrelton Simmons","LAA","2","10847"
"Maikel Franco","PHI","3","12179"
"Ian Desmond","COL","2","6885"
"Brandon Belt","SFG","2","10264"
"Alex Verdugo","LAD","3","17027"
"Joey Votto","CIN","2","4314"
"Cavan Biggio","TOR","2","19252"
"Matt Chapman","OAK","2","16505"
"Tommy Edman","STL","2","19470"
"Todd Frazier","NYM","3","785"
"Gleyber Torres","NYY","1","16997"
"Charlie Blackmon","COL","1","7859"
"Luis Rengifo","LAA","0","19858"
"Joc Pederson","LAD","3","11899"
"Randal Grichuk","TOR","2","10243"
"Kyle Seager","SEA","4","9785"
"Mallex Smith","SEA","0","13608"
"Hunter Renfroe","SDP","5","15464"
"Kevin Newman","PIT","1","17696"
"Robinson Cano","NYM","5","3269"
"Nolan Arenado","COL","2","9777"
"Mike Moustakas","MIL","3","4892"
"Cesar Hernandez","PHI","0","10556"
"Yolmer Sanchez","CHW","1","11602"
"Kevin Pillar","SFG","2","12434"
"Jackie Bradley Jr.","BOS","2","12984"
"Scott Kingery","PHI","3","17975"
"Jose Abreu","CHW","3","15676"
"Jose Iglesias","CIN","2","10231"
"Jarrod Dyson","ARI","1","4866"
"Eric Hosmer","SDP","2","3516"
"Harold Ramirez","MIA","4","14387"
"J.P. Crawford","SEA","1","15491"
"Miguel Cabrera","DET","2","1744"
"Willy Adames","TBR","3","15986"
"Wilson Ramos","NYM","1","1433"
"Josh Reddick","HOU","0","3892"
"Khris Davis","OAK","1","9112"
"James McCann","CHW","3","12859"
"Elvis Andrus","TEX","1","8709"
"Nicky Lopez","KCR","0","19339"
